"Symbol","US Trading Venue","Trading Date","OTC Tier","Caveat Emptor","Security Type","Security Class","Security Name","REG_SHO","Rule_3210","Country of Domicile","Company Name"
"AAAIF","Grey Market","15/10/2014","Grey Market","N","Fund","","ALTERNATIVE INVESTMENT TR","N","N","","Alternative Investment Trust"
"AAALF","Grey Market","15/10/2014","Grey Market","N","Ordinary Shares","","AAREAL BANK AG AKT","N","N","Germany","Aareal Bank AG"
"AAALY","OTC Link","15/10/2014","OTC Pink Current","N","American Depository Receipts","","AAREAL BANK AG UNSP/ADR","N","N","Germany","Aareal Bank AG"
"AAARF","Grey Market","15/10/2014","Grey Market","N","Ordinary Shares","","ALUAR ALUMINIO ARGENT 1V","N","N","","Aluar Aluminio Argentino S.A.I.C."
"AABB","OTC Link","15/10/2014","OTC Pink Current","N","Common Stock","A","ASIA BROADBAND INC","N","N","USA","Asia Broadband, Inc."
"AABGF","Grey Market","15/10/2014","Grey Market","N","Ordinary Shares","","AGRANA BETEILIGUNGS AG","N","N","","Agrana Beteiligungs AG"
"AABNF","Grey Market","15/10/2014","Grey Market","N","Ordinary Shares","","ALTIN AG BAAR NAMEN AKT","N","N","","Altin AG Baar Namen-AKT"
"AABVF","OTC Link","15/10/2014","OTC Pink Current","N","Ordinary Shares","","ABERDEEN INTL INC","N","N","Canada","Aberdeen International Inc."
"AACAF","OTC Link","15/10/2014","OTC Pink Current","N","Ordinary Shares","","AAC TECHS HLDGS INC ORD","N","N","China","AAC Technologies Holdings Inc"
"AACAY","OTC Link","15/10/2014","OTC Pink Current","N","American Depository Receipts","","AAC TECHS HLDGS UNSP/ADR","N","N","China","AAC Technologies Holdings Inc"
"AACEY","OTC Link","15/10/2014","OTC Pink Current","N","American Depository Receipts","","ASIA CMNT HLDGS UNSP/ADR","N","N","Taiwan","Asia Cement (China) Holdings Corp"
"AACMZ","Grey Market","15/10/2014","Grey Market","N","American Depository Receipts","","ASIA CEMENT CORP LTD 144A","N","N","","Asia Cement Corp., Ltd."
"AACS","OTC Link","15/10/2014","OTC Pink Current","N","Common Stock","","AMER COMMERCE SOLTNS INC","N","N","USA","American Commerce Solutions, Inc."
"AACTF","OTC Link","15/10/2014","OTC Pink Current","N","Ordinary Shares","","ACT AURORA CTL TECHS CORP","N","N","Canada","ACT Aurora CTL Technologies Corp"
"AADG","Grey Market","15/10/2014","Grey Market","Y","Common Stock","","ASIAN DRAGON GRP INC","N","N","USA","Asian Dragon Group, Inc."
"AAEEF","Grey Market","15/10/2014","Grey Market","N","Ordinary Shares","","ALTAIR GOLD INC ORD","N","N","","Altair Gold, Inc."
"AAEH","OTC Link","15/10/2014","OTC Pink Current","N","Common Stock","","ALL AMER ENGY HLDG INC","N","N","USA","All American Energy Holding, Inc."
"AAGC","OTC Link","15/10/2014","OTC Pink No Information","N","Common Stock","","ALL AMERICAN GOLD CORP","N","N","USA","All American Gold Corp."
"AAGIY","OTC Link","15/10/2014","OTC Pink Current","N","American Depository Receipts","","AIA GROUP LTD S/ADR","N","N","Hong Kong","AIA Group, Ltd."
"AAGLY","Grey Market","15/10/2014","Grey Market","N","American Depository Receipts","","AURORA OIL & GAS UNSP/ADR","N","N","Australia","Aurora Oil & Gas Ltd."
"AAGRY","OTC Link","15/10/2014","OTC Pink Current","N","American Depository Receipts","","ASTRA AGRO LESTR UNSP/ADR","N","N","Indonesia","Astra Agro Lestari TBK"
"AAHTF","Grey Market","15/10/2014","Grey Market","N","Ordinary Shares","","AAPICO HITECH PCL","N","N","Thailand","Aapico Hitech Public Co., Ltd."
"AAIDY","Grey Market","15/10/2014","Grey Market","N","American Depository Receipts","","ALBERTS INDUS NV ADR","N","N","","A. Alberts Industries"
"AAIGF","OTC Link","15/10/2014","OTC Pink Current","N","Ordinary Shares","","AIA GROUP LTD ORD","N","N","Hong Kong","AIA Group, Ltd."
"AAIIQ","OTC Link","15/10/2014","OTC Pink No Information","N","Common Stock","","ALABAMA AIRCRAFT INDUS","N","N","USA","Alabama Aircraft Industries, Inc."
"AAINF","Grey Market","15/10/2014","Grey Market","N","Ordinary Shares","","ASIABASEMETALS INC ORD","N","N","","Asiabasemetals Inc"
"AAIR","OTC Link","15/10/2014","OTC Pink No Information","N","Common Stock","","AVANTAIR INC","N","N","USA","Avantair, Inc."
"AALBF","Grey Market","15/10/2014","Grey Market","N","Ordinary Shares","","AALBERTS INDUS NV ORD","N","N","","A. Alberts Industries"
"AALQL","Grey Market","15/10/2014","Grey Market","N","Global Depository Receipts","","ALL-AMER LATINA LG 144A","N","N","Brazil","ALL-America Latina Logistica S.A."
"AALTF","Grey Market","15/10/2014","Grey Market","N","Ordinary Shares","","ALL AMERICA LATINA LG ORD","N","N","Brazil","ALL-America Latina Logistica S.A."
"AALYF","Grey Market","15/10/2014","Grey Market","N","Ordinary Shares","","AGRINOS AS","N","N","","Agrinos AS"
"AAMAF","Grey Market","15/10/2014","Grey Market","N","Ordinary Shares","","ATLAS MARA CO NVEST ORD","N","N","","Atlas Mara Co Nvest Ltd."
"AAMGF","Grey Market","15/10/2014","Grey Market","N","Ordinary Shares","","AMAG AUSTRIA MTL ORD","N","N","","AMAG Austria Metall AG"
"AAMGY","Grey Market","15/10/2014","Grey Market","N","American Depository Receipts","","AMAG AUSTRIA MTL UNSP/ADR","N","N","","AMAG Austria Metall AG"
"AAMTF","OTC Link","15/10/2014","OTC Pink Current","N","Ordinary Shares","","ARMADA MERCANTILE LTD","N","N","USA","Armada Mercantile Ltd."
"AANCY","Grey Market","15/10/2014","Grey Market","N","American Depository Receipts","","ALLIANCE & LEICHESTER PLC","N","N","United Kingdom","Alliance & Leicester Plc"
"AANOF","Grey Market","15/10/2014","Grey Market","N","Ordinary Shares","","ASCIANO LTD ORD","N","N","Australia","Asciano Ltd."
"AAPH","OTC Link","15/10/2014","OTC Pink No Information","N","Common Stock","","AMER PETRO-HUNTER INC","N","N","USA","American Petro-Hunter, Inc."
"AAPJ","OTC Link","15/10/2014","OTC Pink No Information","N","Common Stock","","AAP INC","N","N","Japan","AAP, Inc."
"AAPT","OTC Link","15/10/2014","OTC Pink No Information","N","Common Stock","","ALL AMERICAN PET CO INC","N","N","USA","All American Pet Company, Inc."
"AARHY","Grey Market","15/10/2014","Grey Market","N","American Depository Receipts","","AARHUSKARLSHAMN UNSP/ADR","N","N","","AAK AB"
"AASL","OTC Link","15/10/2014","OTC Pink Current","N","Common Stock","","AMERICA'S SUPPLIERS INC","N","N","USA","America's Suppliers, Inc."
"AASP","OTC Link","15/10/2014","OTCQB","N","Common Stock","","ALL-AMER SPORTPARK INC","N","N","USA","All-American SportPark, Inc."
"AAST","OTC Link","15/10/2014","OTC Pink No Information","N","Common Stock","","ALLIED AMERICAN STEEL CRP","N","N","USA","Allied American Steel Corp."
"AASUF","Grey Market","15/10/2014","Grey Market","N","Ordinary Shares","","ASATSU DK INC ORD","N","N","Japan","Asatsu DK Inc."
"AATGF","Grey Market","15/10/2014","Grey Market","N","Ordinary Shares","","ATI AIRTEST TECHS INC","N","N","Canada","ATI Airtest Technologies Inc."
"AATRL","Grey Market","15/10/2014","Grey Market","N","Preferred Stock","","AMG CAP TR II 5.15% CONV","N","N","","AMG Capital Trust II"
"AATV","OTC Link","15/10/2014","OTC Pink No Information","N","Common Stock","","ADAPTIVE AD SYSTEMS INC","N","N","USA","Adaptive Ad Systems, Inc."
"AAUI","Grey Market","15/10/2014","Grey Market","Y","Common Stock","","ANDINA GROUP INC","N","N","USA","Andina Group, Inc."
"AAUJF","Grey Market","15/10/2014","Grey Market","N","Ordinary Shares","","ANDEANGOLD LTD NEW","N","N","Canada","AndeanGold Ltd."
"AAUKF","OTC Link","15/10/2014","OTC Pink Current","N","Ordinary Shares","","ANGLO AMER PLC ORD.","N","N","United Kingdom","Anglo American plc"
"AAUKY","OTC Link","15/10/2014","OTC Pink Current","N","American Depository Receipts","","ANGLO AMER PLC ADS","N","N","United Kingdom","Anglo American plc"
"AAVG","OTC Link","15/10/2014","OTC Pink No Information","Y","Common Stock","","AVSTAR AVIATION GROUP INC","N","N","USA","AvStar Aviation Group, Inc."
"AAXT","OTC Link","15/10/2014","OTC Pink No Information","N","Common Stock","","AAMAXAN TRANSPORT GRP INC","N","N","Canada","Aamaxan Transport Group, Inc."
"AAYYY","Grey Market","15/10/2014","Grey Market","N","American Depository Receipts","","AUSTRALIAN AGRCL UNSP/ADR","N","N","Australia","Australian Agricultural Co Ltd."
"ABAKF","Grey Market","15/10/2014","Grey Market","N","Ordinary Shares","","ABERDEEN ASIA-PAC INC INV","N","N","United Kingdom","Aberdeen Asia-Pacific Income Investment Co. Ltd."
"ABASF","Grey Market","15/10/2014","Grey Market","N","Ordinary Shares","","ABERDEEN ASIAN SMLR","N","N","","Aberdeen Asian Smaller Companies Investment Trust Plc"
"ABAT","OTC Link","15/10/2014","OTC Pink No Information","Y","Common Stock","","ADVANCED BATTERY TECHS","N","N","USA","Advanced Battery Technologies, Inc."
"ABBAF","OTC Link","15/10/2014","OTC Pink Current","N","Ordinary Shares","","ABERDEEN ASIAN INCOME FUN","N","N","United Kingdom","Aberdeen Asian Income Fund"
"ABBB","OTC Link/BB","15/10/2014","OTCQB","N","Common Stock","","AUBURN BANCORP INC","N","N","USA","Auburn Bancorp, Inc."
"ABBY","OTC Link","15/10/2014","OTC Pink Current","N","Common Stock","","ABBY INC","N","N","USA","Abby, Inc."
"ABCAF","OTC Link","15/10/2014","OTC Pink Current","N","Ordinary Shares","","ATHABASCA MINERALS INC","N","N","Canada","Athabasca Minerals Inc."
"ABCE","Grey Market","15/10/2014","Grey Market","N","Common Stock","","ABCO ENERGY INC","N","N","USA","ABCO Energy, Inc."
"ABCFF","OTC Link","15/10/2014","OTC Pink Current","N","Ordinary Shares","","ABACUS MINING & EXPL CORP","N","N","Canada","Abacus Mining & Exploration Corp."
"ABCP","OTC Link","15/10/2014","OTCQB","N","Common Stock","","AMBASE CORP","N","N","USA","AmBase Corp."
"ABCR","OTC Link","15/10/2014","OTC Pink No Information","N","Common Stock","","ABC RECORDS MGMT & DATA","N","N","China","ABC Records Management and Data Storage Inc"
"ABCXF","Grey Market","15/10/2014","Grey Market","N","Ordinary Shares","","ASIA BIO-CHEM GROUP ORD","N","N","Canada","Asia Bio-Chem Group Corp."
"ABCZF","OTC Link","15/10/2014","OTC Pink Current","N","Ordinary Shares","","ABCAM PLC ORD","N","N","United Kingdom","Abcam PLC"
"ABCZY","OTC Link","15/10/2014","OTC Pink Current","N","American Depository Receipts","","ABCAM PLC ADR","N","N","United Kingdom","Abcam PLC"
"ABDNF","OTC Link","15/10/2014","OTC Pink Current","N","Ordinary Shares","","ABERDEEN ASSET MGMT PLC","N","N","United Kingdom","Aberdeen Asset Management PLC"
"ABDNY","OTC Link","15/10/2014","OTC Pink Current","N","American Depository Receipts","","ABERDEEN ASSET MGMT ADR","N","N","United Kingdom","Aberdeen Asset Management PLC"
"ABDR","OTC Link","15/10/2014","OTC Pink No Information","N","Common Stock","","AMBASSADOR FOOD SVCS CORP","N","N","USA","Ambassador Food Services Corp."
"ABDTF","Grey Market","15/10/2014","Grey Market","N","Ordinary Shares","","ABERDEEN NEW DAWN INVS TR","N","N","","Aberdeen New Dawn Investment Trust Plc."
"ABEC","OTC Link","15/10/2014","OTC Pink Limited","N","Common Stock","","ANALYTICA BIO-ENERGY CORP","N","N","Canada","Analytica Bio-Energy Corp."
"ABEOF","Grey Market","15/10/2014","Grey Market","N","Ordinary Shares","","ABERDEEN SMALLER COS H/T","N","N","","Aberdeen Smaller Companies High Income Trust PLC"
"ABEPF","Grey Market","15/10/2014","Grey Market","N","Ordinary Shares","","ABE RESOURCES INC","N","N","Canada","ABE Resources, Inc."
"ABETF","Grey Market","15/10/2014","Grey Market","N","Ordinary Shares","","ABENTEUER RESOURCES CORP","N","N","Canada","Abenteuer Resources Corp."
"ABFOF","Grey Market","15/10/2014","Grey Market","N","Ordinary Shares","","ABERTIS INFRAESTRCTS ORD","N","N","Spain","Abertis Infraestructuras SA"
"ABFXF","Grey Market","15/10/2014","Grey Market","N","Fund","","ABF PAN ASIA BOND I/FD","N","N","","ABF Pan Asia Bond Index Fund"
"ABGLF","Grey Market","15/10/2014","Grey Market","N","Ordinary Shares","","AFRICAN BARRICK GOLD LTD","N","N","","African Barrick Gold Ltd."
"ABGLY","Grey Market","15/10/2014","Grey Market","N","American Depository Receipts","","AFRICAN BARRCK GOLD U/ADR","N","N","","African Barrick Gold Ltd."
"ABGOF","OTC Link","15/10/2014","OTC Pink Current","N","Ordinary Shares","","ABENGOA SA ORD","N","N","Spain","Abengoa S.A."
"ABGOY","OTC Link","15/10/2014","OTC Pink Current","N","American Depository Receipts","","ABENGOA SA UNSP/ADR","N","N","Spain","Abengoa S.A."
"ABGPF","OTC Link","15/10/2014","OTCQX International","N","Ordinary Shares","","ALABAMA GRAPHITE CORP","N","N","Canada","Alabama Graphite Corp."
"ABGSF","Grey Market","15/10/2014","Grey Market","N","Ordinary Shares","","ABG SUNDAL COLLIER ASA","N","N","","ABG Sundal Collier ASA"
"ABHD","OTC Link","15/10/2014","OTCQB","N","Common Stock","","ABTECH HOLDINGS INC","N","N","USA","Abtech Holdings, Inc."
"ABHI","OTC Link","15/10/2014","OTCQB","N","Common Stock","","AMBICOM HOLDINGS INC","N","N","USA","AmbiCom Holdings, Inc."
"ABIZF","Grey Market","15/10/2014","Grey Market","N","Ordinary Shares","","ABINGTON RESOURCES INC","N","N","Canada","Abington Resources, Ltd."
"ABKB","OTC Link","15/10/2014","OTC Pink No Information","N","Common Stock","","AMER BASKETBALL ASSN INC","N","N","USA","American Basketball Association, Inc."
"ABKH","OTC Link","15/10/2014","OTCQB","N","Common Stock","","AMER BANK HLDGS INC (DE)","N","N","USA","American Bank Holdings, Inc."
"ABKI","OTC Link","15/10/2014","OTCQB","N","Common Stock","","ABAKAN INC","N","N","USA","Abakan, Inc."
"ABLE","Grey Market","15/10/2014","Grey Market","Y","Common Stock","","ABLE ENERGY INC","N","N","USA","Able Energy, Inc."
"ABLT","OTC Link","15/10/2014","OTC Pink Limited","N","Common Stock","","AMERICAN BILTRITE INC","N","N","USA","American Biltrite, Inc."
"ABLYF","Grey Market","15/10/2014","Grey Market","N","Ordinary Shares","","ABLYNX NV ORD","N","N","","Ablynx NV"
"ABLZF","OTC Link","15/10/2014","OTC Pink Current","N","Ordinary Shares","","ABB LTD ZUERICH","N","N","Switzerland","ABB Ltd."
"ABMBF","OTC Link","15/10/2014","OTC Pink Current","N","Ordinary Shares","B","ABCOURT MINES INC B","N","N","Canada","Abcourt Mines Inc."
"ABMC","OTC Link","15/10/2014","OTCQB","N","Common Stock","","AMER BIO MEDICA CORP","N","N","USA","American Bio Medica Corp."
"ABMLF","Grey Market","15/10/2014","Grey Market","N","Ordinary Shares","","ALBEMARLE & BOND HLDGS A","N","N","","Albemarle & Bond Holdings Plc"
"ABMT","OTC Link","15/10/2014","OTCQB","N","Common Stock","","ADVANCED BIOMEDICAL TECHS","N","N","USA","Advanced BioMedical Technologies, Inc."
"ABNAF","OTC Link","15/10/2014","OTC Pink Current","N","Ordinary Shares","","ABEN RES LTD ORD NEW","N","N","Canada","Aben Resources, Ltd."
"ABNC","OTC Link","15/10/2014","OTCQB","N","Common Stock","","AMER BANCORP INC LA","N","N","USA","American Bancorp, Inc."
"ABNK","OTC Link","15/10/2014","OTCQB","N","Common Stock","","ALTAPACIFIC BANCORP","N","N","USA","AltaPacific Bancorp"
"ABOT","OTC Link","15/10/2014","OTC Pink Current","N","Common Stock","","ABOT MINING CO IDA CAP","N","N","USA","Abot Mining Co."
"ABPA","OTC Link","15/10/2014","OTC Pink No Information","N","Common Stock","","ALLEGIANCE BK OF N/A (PA)","N","N","USA","Allegiance Bank of North America (Bala Cynwyd, PA)"
"ABPI","OTC Link","15/10/2014","OTC Pink No Information","N","Common Stock","","ACCENTIA BIOPHARMS INC","N","N","USA","Accentia Biopharmaceuticals, Inc."
"ABPR","OTC Link","15/10/2014","OTC Pink No Information","N","Common Stock","","AIRBORNE SEC & PROT SVCS","N","N","USA","Airborne Security & Protective Services, Inc."
"ABPTY","Grey Market","15/10/2014","Grey Market","N","American Depository Receipts","","ARAB POTASH CO ADR 144A","N","N","","Arab Potash Co., Ltd."
"ABPZF","Grey Market","15/10/2014","Grey Market","N","Ordinary Shares","","ARAB POTASH CO SP GDR S","N","N","","Arab Potash Co., Ltd."
"ABRDF","Grey Market","15/10/2014","Grey Market","N","Ordinary Shares","","ABERDEEN NEW THAI INVS TR","N","N","United Kingdom","Aberdeen New Thai Investment Trust plc"
"ABRTY","OTC Link","15/10/2014","OTC Pink Current","N","American Depository Receipts","","ABERTIS INFRSTRC UNSP/ADR","N","N","Spain","Abertis Infraestructuras SA"
"ABRW","OTC Link/BB","15/10/2014","OTC Pink Current","N","Common Stock","","AMERICAN BREWING CO INC","N","N","USA","American Brewing Co., Inc."
"ABSCF","Grey Market","15/10/2014","Grey Market","N","Ordinary Shares","","AB SCIENCE PARIS ORD","N","N","","AB Science, Paris"
"ABSOF","Grey Market","15/10/2014","Grey Market","N","Other Security Type","","ABS-CBN HLDGS DEP RCPT","N","N","","ABS-CBN Holdings Corp"
"ABSR","OTC Link/BB","15/10/2014","OTC Pink Current","N","Common Stock","","AMERICAN BUSINESS SVCS","N","N","USA","American Business Services Inc."
"ABSSF","Grey Market","15/10/2014","Grey Market","N","Ordinary Shares","","AIRBOSS OF AMERICA CORP","N","N","Canada","AirBoss of America Corp."
"ABSTF","Grey Market","15/10/2014","Grey Market","N","Ordinary Shares","","ABSOLUTE INVEST AG","N","N","","Absolute Invest AG"
"ABTO","OTC Link","15/10/2014","OTCQB","N","Common Stock","","AB&T FINCL CORP (NC)","N","N","USA","AB&T Financial Corp. (NC)"
"ABTZY","OTC Link","15/10/2014","OTC Pink Current","N","American Depository Receipts","","ABOITIZ EQTY VNT UNSP/ADR","N","N","Philippines","Aboitiz Equity Ventures, Inc."
"ABWAF","Grey Market","15/10/2014","Grey Market","N","Ordinary Shares","","ADITYA BIRLA MINERALS ORD","N","N","","Aditya Birla Minerals Ltd."
"ABWG","OTC Link","15/10/2014","OTC Pink No Information","N","Common Stock","","A B WATLEY GROUP INC","N","N","USA","A.B. Watley Group, Inc."
"ABXX","OTC Link/BB","15/10/2014","OTC Pink Current","N","Common Stock","","ARGAN BEAUTY CORP","N","N","Germany","Argan Beauty Corporation"
"ABYB","OTC Link","15/10/2014","OTC Pink Current","N","Common Stock","","AMBOY BANCORPORATION","N","N","USA","Amboy Bancorporation"
"ABYLY","Grey Market","15/10/2014","Grey Market","N","American Depository Receipts","","ABLYNX NV S/ADR","N","N","","Ablynx NV"
"ABZPF","OTC Link","15/10/2014","OTC Pink Current","N","Ordinary Shares","","ABOITIZ POWER CORP","N","N","Philippines","Aboitiz Power Corp."
"ABZPY","OTC Link","15/10/2014","OTC Pink Current","N","American Depository Receipts","","ABOITIZ POWER UNSP/ADR","N","N","Philippines","Aboitiz Power Corp."
"ABZT","Grey Market","15/10/2014","Grey Market","Y","Common Stock","","ABLAZE TECHNOLOGIES INC","N","N","","Ablaze Technologies, Inc."
"ABZUF","OTC Link","15/10/2014","OTC Pink Current","N","Ordinary Shares","","ABZU GOLD LTD ORD NEW","N","N","Canada","Abzu Gold, Ltd."
"ACAL","OTC Link","15/10/2014","OTCQB","N","Common Stock","","AMERICA CALIFORNIA BK CA","N","N","USA","America California Bank (San Francisco, CA)"
"ACAN","OTC Link/BB","15/10/2014","OTCQX U.S.","N","Common Stock","","AMERICANN INC","N","N","USA","Americann Inc."
"ACAR","OTC Link","15/10/2014","OTCQB","N","Common Stock","","ACTIVECARE INC","N","N","USA","Activecare Inc."
"ACAVF","Grey Market","15/10/2014","Grey Market","N","Ordinary Shares","","ACE AVIATION HLDGS INC","N","N","Canada","ACE Aviation Holdings Inc."
"ACAZF","Grey Market","15/10/2014","Grey Market","N","Ordinary Shares","","ACADIAN TIMBER CORP ORD","N","N","Canada","Acadian Timber Corp"
"ACBC","OTC Link/BB","15/10/2014","OTCQB","N","Common Stock","","ALBINA COMMUNITY BNCRP","N","N","USA","Albina Community Bancorp"
"ACBK","OTC Link","15/10/2014","OTC Pink No Information","N","Common Stock","","AMER CITY BK (LOS ANG CA)","N","N","","American City Bank (Los Angeles, CA)"
"ACCA","OTC Link","15/10/2014","OTC Pink Limited","N","Common Stock","","ACACIA DIVERSIFIED HLDGS","N","N","USA","Acacia Diversified Holdings, Inc."
"ACCCF","Grey Market","15/10/2014","Grey Market","N","Global Depository Receipts","","ACCTON TECH REG S GDR","N","N","China","Accton Technology Corp."
"ACCCY","Grey Market","15/10/2014","Grey Market","N","American Depository Receipts","","ACCTON TECH CORP GDR 144A","N","N","China","Accton Technology Corp."
"ACCDF","Grey Market","15/10/2014","Grey Market","N","Ordinary Shares","","ACENCIA DEBT STRATEGIES L","N","N","","Acencia Debt Strategies Ltd."
"ACCE","OTC Link","15/10/2014","OTC Pink No Information","N","Common Stock","","ACCRES HOLDING INC","N","N","USA","Accres Holding, Inc."
"ACCKF","Grey Market","15/10/2014","Grey Market","N","Ordinary Shares","","AMICA MATURE LIFSTYLS INC","N","N","Canada","Amica Mature Lifestyles Inc."
"ACCP","OTC Link","15/10/2014","OTCQB","N","Common Stock","","ACCESS PHARMS INC","N","N","USA","Access Pharmaceuticals, Inc."
"ACCR","Grey Market","15/10/2014","Grey Market","N","Common Stock","","ACCESS POWER INC","N","N","USA","Access Power, Inc."
"ACCS","OTC Link","15/10/2014","OTC Pink No Information","N","Common Stock","","AFRICAN COPPER CORP","N","N","South Africa","African Copper Corp."
"ACDKY","OTC Link","15/10/2014","OTC Pink Current","N","American Depository Receipts","","AUCKLAND INT ARP UNSP/ADR","N","N","New Zealand","Auckland International Airport Ltd."
"ACDP","OTC Link","15/10/2014","OTC Pink No Information","N","Common Stock","","AMER COMMUNITY DEV INC","N","N","USA","American Community Development, Inc."
"ACDSF","OTC Link","15/10/2014","OTC Pink Current","N","Fund","","ASCENDAS RL EST INVT TR","N","N","Singapore","Ascendas Real Estate Investment Trust"
"ACDU","Grey Market","15/10/2014","Grey Market","Y","Common Stock","","ACCREDITED BUS CONSOLDTRS","N","N","Nicaragua","Accredited Business Consolidators Corp."
"ACEEU","Grey Market","15/10/2014","Grey Market","N","Units","","ACE ETHANOL LLC UNIT","N","N","","Ace Ethanol LLC"
"ACEHF","Grey Market","15/10/2014","Grey Market","N","Ordinary Shares","","ACE HARDWARE INDONESIA","N","N","","Ace Hardware Indonesia Tbk"
"ACEIY","Grey Market","15/10/2014","Grey Market","N","Global Depository Receipts","","ACER INC S/GDR 144A","N","N","Taiwan","Acer Inc."
"ACERF","OTC Link","15/10/2014","OTC Pink Current","N","Ordinary Shares","","AM GOLD INC ORD NEW","N","N","Canada","AM Gold Inc."
"ACEYY","Grey Market","15/10/2014","Grey Market","N","Global Depository Receipts","","ACER INC S/GDR REG S","N","N","Taiwan","Acer Inc."
"ACFDF","Grey Market","15/10/2014","Grey Market","N","Ordinary Shares","","ADC AFRICAN DEV CORP KGAA","N","N","","ADC African Development Corp KGAA"
"ACFFF","Grey Market","15/10/2014","Grey Market","N","Units","","ACCORDIA GOLF TRUST","N","N","","Accordia Golf Trust"
"ACFL","OTC Link","15/10/2014","OTC Pink No Information","N","Common Stock","","AMC FINANCIAL HLDGS INC","N","N","USA","AMC Financial Holdings, Inc."
"ACGBF","OTC Link","15/10/2014","OTC Pink Current","N","Ordinary Shares","","AGRICULTURAL BANK OF CHIN","N","N","China","Agricultural Bank of China"
"ACGBY","OTC Link","15/10/2014","OTC Pink Current","N","American Depository Receipts","","AGRICULTURAL B/C UNSP/ADR","N","N","China","Agricultural Bank of China"
"ACGFF","Grey Market","15/10/2014","Grey Market","N","Ordinary Shares","","ACCORDIA GOLF CO LTD ORD","N","N","Japan","Accordia Golf Co., Ltd."
"ACGFY","OTC Link","15/10/2014","OTC Pink Current","N","American Depository Receipts","","ACCORDIA GOLF CO LTD ADR","N","N","Japan","Accordia Golf Co., Ltd."
"ACGI","OTC Link","15/10/2014","OTC Pink No Information","N","Common Stock","","AMACORE GROUP INC A","N","N","USA","Amacore Group, Inc. (The)"
"ACGJ","Grey Market","15/10/2014","Grey Market","Y","Common Stock","","ACI GLOBAL CORP","N","N","USA","ACI Global Corp."
"ACGPF","Grey Market","15/10/2014","Grey Market","N","Ordinary Shares","","ACCELL GROUP NV ORD","N","N","","Accell Group NV"
"ACGX","OTC Link","15/10/2014","OTC Pink Current","N","Common Stock","","ALLIANCE CREATIVE GRP INC","N","N","USA","Alliance Creative Group, Inc."
"ACGYF","Grey Market","15/10/2014","Grey Market","N","Ordinary Shares","","SUBSEA 7 SA ORD","N","N","United Kingdom","Subsea 7 S.A."
"ACHI","OTC Link","15/10/2014","OTC Pink Limited","N","Common Stock","","ACCRETIVE HEALTH INC","N","N","USA","Accretive Health, Inc."
"ACIOY","Grey Market","15/10/2014","Grey Market","N","American Depository Receipts","","ACINO HOLDING AG UNSP/ADR","N","N","","Acino Holding AG"
"ACJJF","Grey Market","15/10/2014","Grey Market","N","Ordinary Shares","","ACOM CO LTD JPY","N","N","Japan","Acom Co. Ltd."
"ACKAY","OTC Link","15/10/2014","OTC Pink Current","N","American Depository Receipts","","ARCELIK A S UNSP/ADR","N","N","Turkey","Arcelik  A.S."
"ACKBF","Grey Market","15/10/2014","Grey Market","N","Ordinary Shares","","ACL INTERNATIONAL LTD","N","N","Canada","ACL International Ltd."
"ACKDF","OTC Link","15/10/2014","OTC Pink Current","N","Ordinary Shares","","AUCKLAND INTL LTD ORD","N","N","New Zealand","Auckland International Airport Ltd."
"ACKRF","OTC Link","15/10/2014","OTC Pink Current","N","Ordinary Shares","","AMERICAN CREEK RES LTD","N","N","Canada","American Creek Resources, Ltd."
"ACLD","OTC Link","15/10/2014","OTC Pink No Information","N","Common Stock","","ACQUIRE LTD","N","N","","Acquire Ltd."
"ACLH","Grey Market","15/10/2014","Grey Market","Y","Common Stock","","ACT CLEAN TECHS INC","N","N","USA","Act Clean Technologies, Inc."
"ACLLF","Grey Market","15/10/2014","Grey Market","N","Ordinary Shares","I","ATCO LTD 1 NV CDA","N","N","Canada","Atco Ltd."
"ACLP","OTC Link","15/10/2014","OTC Pink Current","N","Common Stock","","ACCELPATH INC","N","N","USA","AccelPath, Inc."
"ACLTF","Grey Market","15/10/2014","Grey Market","N","Ordinary Shares","","ATCO LTD","N","N","Canada","Atco Ltd."
"ACLZ","OTC Link/BB","15/10/2014","OTCQB","N","Common Stock","","ACCELERIZE INC","N","N","USA","Accelerize Inc."
"ACMA","OTC Link","15/10/2014","OTC Pink No Information","N","Common Stock","","ACM CORPORATION","N","N","USA","ACM Corporation"
"ACMC","OTC Link","15/10/2014","OTCQB","N","Common Stock","","AMER CHURCH MTGE CO","N","N","USA","American Church Mortgage Co."
"ACMDY","OTC Link","15/10/2014","OTC Pink Current","N","American Depository Receipts","","ATLAS CONS MNG&DEV AT ADR","N","N","Philippines","Atlas Consolidated Mining & Development Corp."
"ACME","OTC Link","15/10/2014","OTC Pink No Information","N","Common Stock","","ACME COMMUNS INC","N","N","USA","ACME Communications, Inc."
"ACMG","OTC Link/BB","15/10/2014","OTC Pink Current","N","Common Stock","","ACE CONSULTING MGMT INC","N","N","USA","ACE Consulting Management, Inc."
"ACMHY","Grey Market","15/10/2014","Grey Market","N","American Depository Receipts","","ASCOM HOLDING AG S/ADR","N","N","Switzerland","Ascom Holding AG"
"ACMM","Grey Market","15/10/2014","Grey Market","Y","Common Stock","","ACCOM INC","N","N","","Accom, Inc."
"ACMT","OTC Link","15/10/2014","OTC Pink Limited","N","Common Stock","","ACMAT CORP","N","N","USA","ACMAT Corp."
