"Symbol","US Trading Venue","Trading Date","OTC Tier","Caveat Emptor","Security Type","Security Class","Security Name","REG_SHO","Rule_3210","Country of Domicile","Company Name"
"MSTZF","Grey Market","15/10/2014","Grey Market","N","Ordinary Shares","","MSTAR SEMICONDUCTOR ORD","N","N","","MStar Semiconductor Inc"
"MSUXF","Grey Market","15/10/2014","Grey Market","N","Ordinary Shares","","MISUMI GROUP INC ORD","N","N","Japan","Misumi Group, Inc."
"MSVB","OTC Link","15/10/2014","OTCQB","N","Common Stock","","MID-SOUTHERN SVGS BK FSB","N","N","USA","Mid-Southern Savings Bank, FSB (Salem, IN)"
"MSVTF","Grey Market","15/10/2014","Grey Market","N","Global Depository Receipts","","MOSEL VITELIC S/GDR","N","N","","Mosel Vitelic, Inc."
"MTAGF","OTC Link","15/10/2014","OTC Pink Current","N","Ordinary Shares","","METRO AG ORD","N","N","Germany","Metro AG"
"MTBR","Grey Market","15/10/2014","Grey Market","Y","Common Stock","","METABOLIC RESH INC","N","N","USA","Metabolic Research, Inc."
"MTCRF","Grey Market","15/10/2014","Grey Market","N","Ordinary Shares","","MCCOLLS RETAIL GROUP ORD","N","N","","McColls Retail Group PLC"
"MTCZF","Grey Market","15/10/2014","Grey Market","N","Ordinary Shares","","M2 GROUP LTD","N","N","","M2 Group Ltd"
"MTDGY","Grey Market","15/10/2014","Grey Market","N","American Depository Receipts","","MTD MANGULA LTD ADR","N","N","","MTD Mangula Ltd."
"MTEI","Grey Market","15/10/2014","Grey Market","N","Common Stock","","MOUNTAIN ENERGY INC","N","N","","Mountain Energy, Inc."
"MTELY","Grey Market","15/10/2014","Grey Market","N","American Depository Receipts","","MOTA-ENGIL SGPS UNSP/ADR","N","N","Portugal","Mota-Engil SGPS SA"
"MTENY","OTC Link","15/10/2014","OTCQX International","N","American Depository Receipts","","MAHANAGAR TELPHN NG S/ADR","N","N","India","Mahanagar Telephone Nigam Limited"
"MTFC","Grey Market","15/10/2014","Grey Market","N","Common Stock","","MINSTER FINCL CORP","N","N","USA","Minster Financial Corp."
